gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4953164505	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398578	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.318906	21.155447	10.0						2023-08-19T13:02	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188398578		Craig Peter	2023-10-21T16:53:56	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:56.049Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4953091315	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367374	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.31007	21.156739	10.0						2023-08-19T13:03	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367374		Craig Peter	2023-10-21T11:46:44	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:53.078Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952952980	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163126	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.00735	20.754264	10.0						2023-08-19T14:00	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163126		Craig Peter	2023-10-19T17:50:13	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:49.606Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952936554	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367408	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.280829	21.12615	10.0						2023-08-19T13:07	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367408		Craig Peter	2023-10-21T11:46:53	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T03:29:07.982Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952933408	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163106	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.024783	20.770947	10.0						2023-08-19T13:58	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163106		Craig Peter	2023-10-19T17:50:02	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:36.585Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952865169	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163066	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.08624	20.808685	10.0						2023-08-19T13:39	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163066		Craig Peter	2023-10-19T17:49:47	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T02:37:49.002Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952782941	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163065	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.087548	20.809104	10.0						2023-08-19T13:39	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163065		Craig Peter	2023-10-19T17:49:47	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T02:37:42.170Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952679490	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367438	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.268443	21.084367	10.0						2023-08-19T13:11	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367438		Craig Peter	2023-10-21T11:47:03	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:40.860Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952678340	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367458	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.259811	21.060072	10.0						2023-08-19T13:13	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367458		Craig Peter	2023-10-21T11:47:13	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:38.303Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952666758	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367428	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.27373	21.101941	10.0						2023-08-19T13:10	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367428		Craig Peter	2023-10-21T11:47:00	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:38.975Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
