species,decimalLatitude,decimalLongitude,year,eventID,datasetKey
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.24,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.18,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Sphaeroderus stenostomus,35.670778,-83.481653,2017,GRSM.2017.36,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Scaphinotus guyotii,35.679121,-83.482275,2016,GRSM.2016.30,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.18,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Anillinus langdoni,35.670778,-83.481653,2017,GRSM.2017.14,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.38,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.34,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.34,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Cyclotrachelus freitagi,35.684589,-83.532102,2016,GRSM.2016.24,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Amphasia interstitialis,35.66449,-83.524234,2017,GRSM.2017.32,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.38,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Dicaelus teter,35.684589,-83.532102,2016,GRSM.2016.24,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Pterostichus tristis,35.679121,-83.482275,2016,GRSM.2016.30,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Scaphinotus guyotii,35.670778,-83.481653,2017,GRSM.2017.34,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Sphaeroderus stenostomus,35.670778,-83.481653,2017,GRSM.2017.34,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.24,69e5ceb4-30a6-4074-8f9d-d6a0457cb789
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.30,044d870e-5718-410a-9450-9c2ceac8e1d9
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.30,044d870e-5718-410a-9450-9c2ceac8e1d9
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.30,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.30,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.30,8cb7c449-ba11-4464-865e-8029b8d772e8
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.34,8cb7c449-ba11-4464-865e-8029b8d772e8
Galerita bicolor,35.679121,-83.482275,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.28,8cb7c449-ba11-4464-865e-8029b8d772e8
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
Sphaeroderus stenostomus,35.679121,-83.482275,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus sigillatus,35.679121,-83.482275,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
Cyclotrachelus freitagi,35.679121,-83.482275,2016,GRSM.2016.32,8cb7c449-ba11-4464-865e-8029b8d772e8
