species,eventDate,decimalLatitude,decimalLongitude,NDVI
Vachellia erioloba,2023-08-19T13:39,-29.087548,20.809104,0.06433706730604172
Vachellia erioloba,2023-08-19T13:19,-29.223945,20.984154,0.06542611867189407
Vachellia erioloba,2023-08-19T13:24,-29.204154,20.930696,0.07340458780527115
Vachellia erioloba,2023-08-19T13:35,-29.129487,20.822055,0.054579295217990875
Vachellia erioloba,2023-08-19T13:36,-29.123626,20.820258,0.06782928854227066
Vachellia erioloba,2023-08-19T13:19,-29.22448,20.986263,0.07438206672668457
Vachellia erioloba,2023-08-19T13:20,-29.222821,20.979796,0.0580226331949234
Searsia burchellii,2023-09-23T13:19,-29.800294,20.771756,0.047136060893535614
Aloidendron dichotomum,2023-08-19T13:07,-29.26697,21.134555,0.06621439009904861
Aloidendron dichotomum,2023-08-19T13:08,-29.229288,21.102127,0.06923625618219376
Vachellia erioloba,2023-08-19T13:03,-29.310807,21.156635,0.061869438737630844
Vachellia erioloba,2023-08-19T13:00,-29.340733,21.153172,0.05236589536070824
Caroxylon aphyllum,2023-04-19T10:40,-29.487822,20.797969,0.056689340621232986
Rhigozum trichotomum,2023-04-19T10:37,-29.487761,20.797747,0.056689340621232986
Vachellia erioloba,2023-08-19T12:26,-29.276294,21.450225,0.08531025797128677
Aloidendron dichotomum,2023-08-19T12:50,-29.282642,21.240622,0.06690405309200287
Aloidendron dichotomum,2023-08-19T13:33,-29.040917,20.967747,0.06681188941001892
Aloidendron dichotomum,2023-08-19T13:34,-29.018343,20.871324,0.06012530252337456
Schinus molle,2023-08-19T12:55,-29.344643,21.16349,0.062363673001527786
Aloidendron dichotomum,2023-08-19T12:48,-29.252817,21.260807,0.06174763664603233
Aloidendron dichotomum,2023-08-19T12:44,-29.257648,21.346396,0.07851903140544891
Vachellia erioloba,2023-08-19T13:02,-29.324603,21.154611,0.06293615698814392
Vachellia erioloba,2023-08-19T13:01,-29.336728,21.153408,0.08104114234447479
Vachellia erioloba,2023-08-19T12:58,-29.348941,21.159991,0.03610506281256676
Aloidendron dichotomum,2023-08-19T12:20,-29.391374,21.475887,0.0753338560461998
Rogeria longiflora,2023-08-19T13:39,-29.094073,20.811173,0.0577438659965992
Vachellia erioloba,2023-08-19T12:54,-29.342047,21.167291,0.0754186138510704
Aloidendron dichotomum,2023-08-19T12:27,-29.350212,21.400884,0.07211148738861084
Vachellia erioloba,2023-08-19T13:56,-29.046645,20.787164,0.06907452642917633
Aloidendron dichotomum,2023-08-19T13:43,-29.151502,20.862188,0.05273555964231491
Aloidendron dichotomum,2023-08-19T13:54,-29.145492,20.750528,0.07413876056671143
Senegalia mellifera,2023-08-19T13:44,-29.071484,20.802829,0.05596889555454254
Vachellia erioloba,2023-08-19T14:00,-29.003759,20.750457,0.06307575851678848
Vachellia erioloba,2023-08-19T12:41,-29.28172,21.29636,0.06488627195358276
Aloidendron dichotomum,2023-08-19T13:33,-29.022417,20.807841,0.047663383185863495
Vachellia erioloba,2023-08-19T12:32,-29.27651,21.406354,0.06908410787582397
Vachellia erioloba,2023-08-19T12:23,-29.277767,21.496585,0.058982621878385544
Aloidendron dichotomum,2023-08-19T12:45,-29.206631,21.288906,0.0661228820681572
Aloidendron dichotomum,2023-08-19T12:34,-29.236606,21.397267,0.08286833018064499
Rogeria longiflora,2023-08-19T13:38,-29.100329,20.81318,0.05958956107497215
Tecoma stans,2023-08-19T12:59,-29.34609,21.15247,0.058916620910167694
Opuntia ficus-indica,2023-08-19T12:55,-29.344643,21.16349,0.062363673001527786
Aloidendron dichotomum,2023-08-19T12:46,-29.27744,21.364239,0.06778036057949066
Boscia albitrunca,2023-08-19T12:43,-29.292876,21.269165,0.06431201845407486
Aloidendron dichotomum,2023-08-19T12:47,-29.292051,21.20807,0.06855271011590958
Aloidendron dichotomum,2023-08-19T12:46,-29.386332,21.213638,0.06699403375387192
Aloidendron dichotomum,2023-08-19T13:04,-29.208425,21.016256,0.06184828281402588
Vachellia erioloba,2023-08-19T12:54,-29.340973,21.169344,0.0675167366862297
Aloidendron dichotomum,2023-08-19T13:57,-29.025578,20.717007,0.0603928305208683
Hermannia stricta,2023-08-19T13:48,-29.070623,20.802577,0.05850846320390701
Aloidendron dichotomum,2023-08-19T13:40,-29.187139,20.83998,0.06432908773422241
Vachellia erioloba,2023-08-19T13:39,-29.083528,20.807798,0.07081498950719833
Vachellia erioloba,2023-08-19T13:58,-29.025907,20.771934,0.05961395055055618
Aloidendron dichotomum,2023-09-19T12:18:36,-29.128408,21.487243,0.07973553240299225
Aloidendron dichotomum,2023-09-19T12:05:14,-29.007324,21.465336,0.07821585983037949
Dinteranthus pole-evansii,2023-09-18T13:51:24,-29.177033,21.20703,0.07952859252691269
Aloidendron dichotomum,2023-09-19T09:30:18,-29.067819,21.487231,
Aptosimum spinescens,2023-04-19T10:39,-29.487719,20.797786,0.056689340621232986
Aptosimum spinescens,2023-04-19T11:57,-29.722953,20.519681,0.030913978815078735
